Data Table for Total Cases - New Jersey
Date generated: Mon Sep 27 2021 02:34:08 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New Jersey,Jul 27 2020,181933
New Jersey,Jul 26 2020,181440
New Jersey,Jul 25 2020,180906
New Jersey,Jul 24 2020,180359
New Jersey,Jul 23 2020,179860
New Jersey,Jul 22 2020,179574
New Jersey,Jul 21 2020,179129
New Jersey,Jul 20 2020,178782
New Jersey,Jul 19 2020,178541
New Jersey,Jul 18 2020,178551
New Jersey,Jul 17 2020,178264
New Jersey,Jul 16 2020,178169
New Jersey,Jul 15 2020,177898
New Jersey,Jul 14 2020,177488
New Jersey,Jul 13 2020,177044
New Jersey,Jul 12 2020,176758
New Jersey,Jul 11 2020,176385
New Jersey,Jul 10 2020,176015
New Jersey,Jul  9 2020,175621
New Jersey,Jul  8 2020,175339
New Jersey,Jul  7 2020,175137
New Jersey,Jul  6 2020,174815
New Jersey,Jul  5 2020,174570
New Jersey,Jul  4 2020,174178
New Jersey,Jul  3 2020,173874
New Jersey,Jul  2 2020,173456
New Jersey,Jul  1 2020,172979
New Jersey,Jun 30 2020,172678
New Jersey,Jun 29 2020,172245
New Jersey,Jun 28 2020,172112
New Jersey,Jun 27 2020,171787
New Jersey,Jun 26 2020,171476
New Jersey,Jun 25 2020,171064
New Jersey,Jun 24 2020,170571
New Jersey,Jun 23 2020,170232
New Jersey,Jun 22 2020,170194
New Jersey,Jun 21 2020,169889
New Jersey,Jun 20 2020,169568
New Jersey,Jun 19 2020,169213
New Jersey,Jun 18 2020,168795
New Jersey,Jun 17 2020,168370
New Jersey,Jun 16 2020,168069
New Jersey,Jun 15 2020,167716
New Jersey,Jun 14 2020,167472
New Jersey,Jun 13 2020,167186
New Jersey,Jun 12 2020,166732
New Jersey,Jun 11 2020,166365
New Jersey,Jun 10 2020,165870
New Jersey,Jun  9 2020,165304
New Jersey,Jun  8 2020,164988
New Jersey,Jun  7 2020,164640
New Jersey,Jun  6 2020,164361
New Jersey,Jun  5 2020,163795
New Jersey,Jun  4 2020,162970
New Jersey,Jun  3 2020,162492
New Jersey,Jun  2 2020,161951
New Jersey,Jun  1 2020,161293
New Jersey,May 31 2020,160807
New Jersey,May 30 2020,159969
New Jersey,May 29 2020,159196
New Jersey,May 28 2020,157523
New Jersey,May 27 2020,156945
New Jersey,May 26 2020,156064
New Jersey,May 25 2020,155376
New Jersey,May 24 2020,154434
New Jersey,May 23 2020,153379
New Jersey,May 22 2020,152989
New Jersey,May 21 2020,151716
New Jersey,May 20 2020,150625
New Jersey,May 19 2020,149212
New Jersey,May 18 2020,148219
New Jersey,May 17 2020,146499
New Jersey,May 16 2020,145247
New Jersey,May 15 2020,144057
New Jersey,May 14 2020,142843
New Jersey,May 13 2020,141681
New Jersey,May 12 2020,140851
New Jersey,May 11 2020,140037
New Jersey,May 10 2020,138609
New Jersey,May  9 2020,137160
New Jersey,May  8 2020,135519
New Jersey,May  7 2020,133685
New Jersey,May  6 2020,131932
New Jersey,May  5 2020,130631
New Jersey,May  4 2020,128297
New Jersey,May  3 2020,126764
New Jersey,May  2 2020,123736
New Jersey,May  1 2020,121205
New Jersey,Apr 30 2020,118653
New Jersey,Apr 29 2020,116265
New Jersey,Apr 28 2020,113857
New Jersey,Apr 27 2020,111188
New Jersey,Apr 26 2020,109038
New Jersey,Apr 25 2020,105523
New Jersey,Apr 24 2020,102196
New Jersey,Apr 23 2020,99989
New Jersey,Apr 22 2020,95865
New Jersey,Apr 21 2020,92387
New Jersey,Apr 20 2020,88806
New Jersey,Apr 19 2020,85301
New Jersey,Apr 18 2020,81436
New Jersey,Apr 17 2020,78467
New Jersey,Apr 16 2020,75317
New Jersey,Apr 15 2020,71030
New Jersey,Apr 14 2020,68824
New Jersey,Apr 13 2020,64584
New Jersey,Apr 12 2020,61850
New Jersey,Apr 11 2020,58151
New Jersey,Apr 10 2020,54588
New Jersey,Apr  9 2020,51027
New Jersey,Apr  8 2020,47437
New Jersey,Apr  7 2020,44416
New Jersey,Apr  6 2020,41090
New Jersey,Apr  5 2020,37505
New Jersey,Apr  4 2020,34124
New Jersey,Apr  3 2020,29895
New Jersey,Apr  2 2020,25590
New Jersey,Apr  1 2020,22255
New Jersey,Mar 31 2020,18696
New Jersey,Mar 30 2020,16636
New Jersey,Mar 29 2020,13386
New Jersey,Mar 28 2020,11124
New Jersey,Mar 27 2020,8825
New Jersey,Mar 26 2020,6876
New Jersey,Mar 25 2020,4402
New Jersey,Mar 24 2020,3675
New Jersey,Mar 23 2020,2844
New Jersey,Mar 22 2020,1914
New Jersey,Mar 21 2020,1327
New Jersey,Mar 20 2020,890
New Jersey,Mar 19 2020,742
New Jersey,Mar 18 2020,427
New Jersey,Mar 17 2020,267
New Jersey,Mar 16 2020,178
New Jersey,Mar 15 2020,98
New Jersey,Mar 14 2020,44
New Jersey,Mar 13 2020,30
New Jersey,Mar 12 2020,29
New Jersey,Mar 11 2020,23
New Jersey,Mar 10 2020,15
New Jersey,Mar  9 2020,8
New Jersey,Mar  8 2020,6
New Jersey,Mar  7 2020,6
New Jersey,Mar  6 2020,4
New Jersey,Mar  5 2020,2
New Jersey,Mar  4 2020,0
New Jersey,Mar  3 2020,0
New Jersey,Mar  2 2020,0
New Jersey,Mar  1 2020,0
New Jersey,Feb 29 2020,0
New Jersey,Feb 28 2020,0
New Jersey,Feb 27 2020,0
New Jersey,Feb 26 2020,0
New Jersey,Feb 25 2020,0
New Jersey,Feb 24 2020,0
New Jersey,Feb 23 2020,0
New Jersey,Feb 22 2020,0
New Jersey,Feb 21 2020,0
New Jersey,Feb 20 2020,0
New Jersey,Feb 19 2020,0
New Jersey,Feb 18 2020,0
New Jersey,Feb 17 2020,0
New Jersey,Feb 16 2020,0
New Jersey,Feb 15 2020,0
New Jersey,Feb 14 2020,0
New Jersey,Feb 13 2020,0
New Jersey,Feb 12 2020,0
New Jersey,Feb 11 2020,0
New Jersey,Feb 10 2020,0
New Jersey,Feb  9 2020,0
New Jersey,Feb  8 2020,0
New Jersey,Feb  7 2020,0
New Jersey,Feb  6 2020,0
New Jersey,Feb  5 2020,0
New Jersey,Feb  4 2020,0
New Jersey,Feb  3 2020,0
New Jersey,Feb  2 2020,0
New Jersey,Feb  1 2020,0
New Jersey,Jan 31 2020,0
New Jersey,Jan 30 2020,0
New Jersey,Jan 29 2020,0
New Jersey,Jan 28 2020,0
New Jersey,Jan 27 2020,0
New Jersey,Jan 26 2020,0
New Jersey,Jan 25 2020,0
New Jersey,Jan 24 2020,0
New Jersey,Jan 23 2020,0
