,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
58,0.1784060001373291,0.010137596207678531,0.031232515970865887,0.0038350933383651674,25,25,"{'max_depth': 25, 'n_estimators': 25}",0.8557271834840552,0.8821656525888809,0.8373262646146504,0.8584063668958622,0.01840337281209557,34,0.9999599215581008,0.999941357381151,0.9999581124151078,0.9999531304514532,8.357517089330706e-06,0.7806539509536785,0.8144611186903138,0.7735334242837654,0.7895494979759192,0.01785342376086681,22,0.9965893587994543,0.9952283571915473,0.9965916837082481,0.9961364665664166,0.000642130998496048
45,0.3435210386912028,0.009259206925127236,0.05704792340596517,0.00672962842522241,15,50,"{'max_depth': 15, 'n_estimators': 50}",0.8527152248929082,0.8854800465282748,0.8344406167979002,0.8575452960730278,0.02111481371777059,35,0.999973902409926,0.9999590432503277,0.9998622363874657,0.9999317273492397,4.951056440940194e-05,0.779291553133515,0.810368349249659,0.7653478854024557,0.7850025959285433,0.01881794442563298,33,0.9945429740791268,0.9952283571915473,0.994546693933197,0.994772675067957,0.00032221949832207967
44,0.1756561597188314,0.004830675478607068,0.03690544764200846,0.006229064807661613,15,25,"{'max_depth': 15, 'n_estimators': 25}",0.8493314195621133,0.8789817465998567,0.8339671319494153,0.8540934327037951,0.018683084326079506,36,0.9994463582677167,0.9995680924580008,0.9997012018944359,0.9995718842067177,0.00010407401705389902,0.7643051771117166,0.800818553888131,0.7680763983628922,0.7777333764542466,0.01639612942733278,36,0.9836289222373806,0.9911383776414451,0.9931833674164963,0.9893168890984407,0.004107734254176607
57,0.07228724161783855,0.005840197105117772,0.018005212148030598,0.0017366164065954828,25,10,"{'max_depth': 25, 'n_estimators': 10}",0.8425712458353165,0.8707759186351706,0.8187820627535194,0.8440430757413355,0.02125190148064665,37,0.99931400620377,0.9994154354819492,0.9996109108781127,0.9994467841879439,0.00012322108163054002,0.7629427792915532,0.800818553888131,0.757162346521146,0.7736412265669435,0.01936162339949013,38,0.9890859481582538,0.9904567143830948,0.9925017041581459,0.9906814555664981,0.001403502455130934
71,0.07232705752054851,0.00385856786211306,0.01699972152709961,0.0008196508274758635,30,10,"{'max_depth': 30, 'n_estimators': 10}",0.8425712458353165,0.8703732701026008,0.8187820627535194,0.8439088595638123,0.021083248908378628,38,0.99931400620377,0.9995001414869534,0.9996109108781127,0.9994750195229454,0.00012250559502422184,0.7629427792915532,0.8076398362892224,0.757162346521146,0.7759149873673072,0.022556638048729073,37,0.9890859481582538,0.9904567143830948,0.9925017041581459,0.9906814555664981,0.001403502455130934
43,0.07665514945983887,0.0010609405672434174,0.019348621368408203,0.0018590093337429636,15,10,"{'max_depth': 15, 'n_estimators': 10}",0.8305903438838648,0.8734565139584826,0.8175666607015033,0.8405378395146169,0.023876535570367587,39,0.9973520266642806,0.9987722283450494,0.9987899142142261,0.9983047230745187,0.0006736967839478941,0.7506811989100818,0.8076398362892224,0.7421555252387448,0.7668255201460163,0.029069205694522753,39,0.9686221009549796,0.9795501022494888,0.9863667348329925,0.978179646012487,0.007308744561110074
41,7.180786848068237,0.09077386213476701,1.0094467004140217,0.032638588989779505,8,1200,"{'max_depth': 8, 'n_estimators': 1200}",0.8086848524512137,0.8644342042471964,0.8028215223097113,0.8253135263360405,0.02776586921934154,40,0.9435919231686948,0.9427573573215775,0.9486700226379124,0.9450064343760616,0.002612857216735765,0.728882833787466,0.7830832196452933,0.7339699863574352,0.7486453465967315,0.024439655008464962,46,0.8567530695770805,0.8507157464212679,0.8663940013633266,0.8579542724538917,0.006456732185375261
40,6.046630938847859,0.02573082005494471,0.820929209391276,0.010196735313393542,8,1000,"{'max_depth': 8, 'n_estimators': 1000}",0.8089972037125178,0.8642403364352184,0.8024412431400622,0.8252262610959328,0.02771664614981987,41,0.9440579515628728,0.9422100262123199,0.948346091981413,0.9448713565855352,0.002570220039714934,0.728882833787466,0.7858117326057299,0.7366984993178718,0.7504643552370226,0.025197208470452252,42,0.8581173260572987,0.8507157464212679,0.8684389911383776,0.8590906878723148,0.007268146290164041
38,3.6198198795318604,0.037839909061587435,0.49044013023376465,0.013666993093111077,8,600,"{'max_depth': 8, 'n_estimators': 600}",0.8078742265587816,0.8643670961584347,0.8032689095681221,0.8251700774284462,0.02778017211532256,42,0.9437634216177522,0.9425488502323365,0.9485322590253782,0.9449481769584889,0.002582379924180464,0.728882833787466,0.7830832196452933,0.7366984993178718,0.7495548509168769,0.023921883832065758,43,0.859481582537517,0.8500340831629175,0.8657123381049762,0.8584093346018036,0.006445370753948295
36,2.4072503248850503,0.02297353842681551,0.3594656785329183,0.037991273958705156,8,400,"{'max_depth': 8, 'n_estimators': 400}",0.8083353165159448,0.8642999880696731,0.8028289787640182,0.8251547611165453,0.027770986463915695,43,0.9443133351228824,0.941956839032527,0.9491838436792566,0.9451513392782219,0.003009328525794131,0.7247956403269755,0.7789904502046384,0.7353342428376535,0.7463734444564225,0.023461561950047585,48,0.8587994542974079,0.852760736196319,0.8698023176550784,0.8604541693829351,0.007054900715794987
