,p2,p3,p4,p5,p6,target_Asian,target_AIAN,target_Black,target_White,target_Other,target_NHPI
14916,0.6350818192796857,0.628762649594972,0.592,0.0,0.592,0,0,0,0,0,0
14917,0.628762649594972,0.6225063566991884,0.592,0.0,0.592,0,0,0,0,0,0
14918,0.6225063566991884,0.6163123149578318,0.592,0.0,0.592,0,0,0,0,0,0
14919,0.6163123149578318,0.6101799049615663,0.592,0.0,0.592,0,0,0,0,0,0
14920,0.6101799049615663,0.6041085134642818,0.592,0.0,0.592,0,0,0,0,0,0
14921,0.6041085134642818,0.5980975333217693,0.592,0.0,0.592,0,0,0,0,0,0
14922,0.5980975333217693,0.5921463634310051,0.592,0.0,0.592,0,0,0,0,0,0
14923,0.5921463634310051,0.5862544086700411,0.592,0.0,0.592,0,0,0,0,0,0
14924,0.5862544086700411,0.580421079838491,0.592,0.0,0.592,0,0,0,0,0,0
14925,0.580421079838491,0.5746457935986107,0.592,0.0,0.592,0,0,0,0,0,0
14926,0.5746457935986107,0.5689279724169632,0.592,0.0,0.592,0,0,0,0,0,0
14927,0.5689279724169632,0.5632670445066658,0.592,0.0,0.592,0,0,0,0,0,0
14928,0.5632670445066658,0.5576624437702097,0.592,0.0,0.592,0,0,0,0,0,0
14929,0.5576624437702097,0.5521136097428508,0.5861095015795075,0.0,0.5861095015795075,0,0,0,0,0,0
14930,0.5521136097428508,0.5466199875365625,0.5802776145975991,0.0,0.5802776145975991,0,0,0,0,0,0
14931,0.5466199875365625,0.541181027784546,0.5745037558607168,0.0,0.5745037558607168,0,0,0,0,0,0
14932,0.541181027784546,0.5357961865862937,0.5687873479781753,0.0,0.5687873479781753,0,0,0,0,0,0
14933,0.5357961865862937,0.5304649254531983,0.5631278193044227,0.0,0.5631278193044227,0,0,0,0,0,0
14934,0.5304649254531983,0.5251867112547038,0.5575246038818752,0.0,0.5575246038818752,0,0,0,0,0,0
14935,0.5251867112547038,0.5199610161649919,0.5519771413843213,0.0,0.5519771413843213,0,0,0,0,0,0
14936,0.5199610161649919,0.5147873176101987,0.5464848770608883,0.0,0.5464848770608883,0,0,0,0,0,0
14937,0.5147873176101987,0.5096650982161574,0.541047261680567,0.0,0.541047261680567,0,0,0,0,0,0
14938,0.5096650982161574,0.50459384575666,0.535663751477288,0.0,0.535663751477288,0,0,0,0,0,0
14939,0.50459384575666,0.4995730531022345,0.5303338080955446,0.0,0.5303338080955446,0,0,0,0,0,0
14940,0.4995730531022345,0.4946022181694317,0.5250568985365572,0.0,0.5250568985365572,0,0,0,0,0,0
14941,0.4946022181694317,0.4896808438706155,0.5198324951049723,0.0,0.5198324951049723,0,0,0,0,0,0
14942,0.4896808438706155,0.4848084380642552,0.514660075356093,0.0,0.514660075356093,0,0,0,0,0,0
14943,0.4848084380642552,0.4799845135057097,0.5095391220436342,0.0,0.5095391220436342,0,0,0,0,0,0
14944,0.4799845135057097,0.4752085877985032,0.5044691230679971,0.0,0.5044691230679971,0,0,0,0,0,0
14945,0.4752085877985032,0.470480183346085,0.4994495714250591,0.0,0.4994495714250591,0,0,0,0,0,0
14946,0.470480183346085,0.4657988273040696,0.494479965155473,0.0,0.494479965155473,0,0,0,0,0,0
14947,0.4657988273040696,0.4611640515329515,0.4895598072944704,0.0,0.4895598072944704,0,0,0,0,0,0
14948,0.4611640515329515,0.4565753925512915,0.4846886058221652,0.0,0.4846886058221652,0,0,0,0,0,0
14949,0.4565753925512915,0.4520323914893672,0.4798658736143507,0.0,0.4798658736143507,0,0,0,0,0,0
14950,0.4520323914893672,0.4475345940432869,0.4750911283937872,0.0,0.4750911283937872,0,0,0,0,0,0
